date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:26	9744/9744	U-----	200	untouched ('OK')	text/css	etag:%22b039d823e24519cc39026e5fc0772c36%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/css/81a15c235fb6aefb.css	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/css/81a15c235fb6aefb.css	(from https://cash.app/)
15:02:26	3912/3912	U-----	200	untouched ('')	text/javascript	etag:%220bc3d046f5632d48bd32dfec7e976bf0%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/webpack-7eac7b3784499986.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/webpack-7eac7b3784499986.js	(from https://cash.app/)
15:02:26	208874/208874	U-----	200	untouched ('')	text/javascript	etag:%223ce96c431d6e1b30c2a7fa367dab7f67%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/framework-7275483d0887314b.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/framework-7275483d0887314b.js	(from https://cash.app/)
15:02:27	134844/134844	U-----	200	untouched ('')	text/javascript	etag:%22c53c01738f35c03907d28dd7564aa211%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/main-081497b2d63455dd.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/main-081497b2d63455dd.js	(from https://cash.app/)
15:03:04	704292/704292	U-----	200	untouched ('')	text/javascript	etag:%2298950daf746ff636a27e29a1b5aaf95b%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/pages/_app-264aa015caf20b2c.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/pages/_app-264aa015caf20b2c.js	(from https://cash.app/)
15:03:05	15310/15310	U-----	200	untouched ('')	text/javascript	etag:%22a8274d1dc85f186a5e4d9bac7e56529d%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/7090-9b7c34a831bc7bd3.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/7090-9b7c34a831bc7bd3.js	(from https://cash.app/)
15:03:05	18685/18685	U-----	200	untouched ('')	text/javascript	etag:%225bc2495608b39663438e33e08d01be62%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/5437-d98e7c8f77ef4e26.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/5437-d98e7c8f77ef4e26.js	(from https://cash.app/)
15:03:06	15207/15207	U-----	200	untouched ('')	text/javascript	etag:%22424d3a7d824bb9f1f60275e1135e8f69%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/8137-6a561f6f82f206cd.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/8137-6a561f6f82f206cd.js	(from https://cash.app/)
15:03:06	36155/36155	U-----	200	untouched ('')	text/javascript	etag:%228b5847f60699680607c04ecac5995da2%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/1079-ea686cbb109de761.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/1079-ea686cbb109de761.js	(from https://cash.app/)
15:03:06	2057/2057	U-----	200	untouched ('')	text/javascript	etag:%22c8fd87c927c402db8f3fe809fcbfa2cd%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/pages/home-br25-baaa8ecd4ac08ebb.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/pages/home-br25-baaa8ecd4ac08ebb.js	(from https://cash.app/)
