PO Box Service,,,,Final,,1/16/2025,,,,
,,,,,,,,
Market Dominant,,,,,
Six Month,,,,,,,
Fee Group,Size 1,Size 2,Size 3,Size 4,Size 5,,
1,75.00,109.00,188.00,339.00,535.00,,
2,61.00,90.00,151.00,281.00,440.00,,
3,51.00,72.00,123.00,230.00,359.00,,Both Market Dominant and Competitive,,,
4,42.00,60.00,94.00,176.00,302.00,,Key Deposit,,,,,5.00
5,36.00,50.00,77.00,133.00,216.00,,Key Duplication or Replacement,,,,,12.00
6,32.00,42.00,60.00,98.00,173.00,,Customer Initiated Lock Replacement,,,,,25.00
7,29.00,37.00,55.00,81.00,144.00,,
E,-,-,-,-,-,,
,,,,,,,
Three Month,,,,,,,
Fee Group,Size 1,Size 2,Size 3,Size 4,Size 5,,
1,46.00,66.00,114.00,204.00,321.00,,
2,37.00,55.00,91.00,168.00,264.00,,
3,31.00,45.00,75.00,137.00,216.00,,
4,26.00,37.00,57.00,105.00,182.00,,
5,23.00,31.00,47.00,80.00,131.00,,
6,20.00,26.00,37.00,59.00,105.00,,
7,19.00,23.00,34.00,50.00,87.00,,
E,-,-,-,-,-,,
,,,,,,,
,,,,,,,
,
Competitive,,,,,,,
Six-Month,,,,,,,
Fee Group,Size 1,Size 2,Size 3,Size 4,Size 5,,
C30,165.00,219.00,384.00,439.00,658.00,,
C31,124.00,159.00,249.00,284.00,398.00,,
C32,117.00,148.00,232.00,266.00,371.00,,
C33,105.00,134.00,210.00,239.00,335.00,,
C34,96.00,122.00,191.00,218.00,305.00,,
C35,94.00,113.00,180.00,209.00,278.00,,
C36,83.00,107.00,166.00,186.00,258.00,,
C37,78.00,100.00,156.00,174.00,244.00,,
C38,124.00,159.00,249.00,284.00,398.00,,
C39,117.00,148.00,232.00,266.00,371.00,,
C40,105.00,134.00,210.00,239.00,335.00,,
C41,96.00,122.00,191.00,218.00,305.00,,
C42,94.00,113.00,180.00,209.00,278.00,,
C43,83.00,107.00,166.00,186.00,258.00
C44,78.00,100.00,156.00,174.00,244.00
,
,,,3-Month,,
Fee Group,Size 1,Size 2,Size 3,Size 4,Size 5
C30,95.00,126.00,221.00,252.00,378.00
C31,71.00,91.00,143.00,163.00,229.00
C32,67.00,85.00,133.00,153.00,213.00
C33,60.00,77.00,121.00,137.00,193.00
C34,55.00,70.00,110.00,125.00,175.00
C35,54.00,65.00,104.00,120.00,160.00
C36,48.00,62.00,95.00,107.00,148.00
C37,45.00,58.00,90.00,100.00,140.00
C38,71.00,91.00,143.00,163.00,229.00
C39,67.00,85.00,133.00,153.00,213.00
C40,60.00,77.00,121.00,137.00,193.00
C41,55.00,70.00,110.00,125.00,175.00
C42,54.00,65.00,104.00,120.00,160.00
C43,48.00,62.00,95.00,107.00,148.00
C44,45.00,58.00,90.00,100.00,140.00
,,,,,
